DATE;RPI;W875RX1;DPCERA3M086SBEA;CMRMTSPLx;RETAILx;INDPRO;IPFPNSS;IPFINAL;IPCONGD;IPDCONGD;IPNCONGD;IPBUSEQ;IPMAT;IPDMAT;IPNMAT;IPMANSICS;IPB51222S;IPFUELS;CUMFNS;HWI;HWIURATIO;CLF16OV;CE16OV;UNRATE;UEMPMEAN;UEMPLT5;UEMP5TO14;UEMP15OV;UEMP15T26;UEMP27OV;CLAIMSx;PAYEMS;USGOOD;CES1021000001;USCONS;MANEMP;DMANEMP;NDMANEMP;SRVPRD;USTPU;USWTRADE;USTRADE;USFIRE;USGOVT;CES0600000007;AWOTMAN;AWHMAN;HOUST;HOUSTNE;HOUSTMW;HOUSTS;HOUSTW;PERMIT;PERMITNE;PERMITMW;PERMITS;PERMITW;ACOGNO;AMDMNOx;ANDENOx;AMDMUOx;BUSINVx;ISRATIOx;M1SL;M2SL;M2REAL;AMBSL;TOTRESNS;NONBORRES;BUSLOANS;REALLN;NONREVSL;CONSPI;S&P 500;S&P: indust;S&P div yield;S&P PE ratio;FEDFUNDS;CP3Mx;TB3MS;TB6MS;GS1;GS5;GS10;AAA;BAA;COMPAPFFx;TB3SMFFM;TB6SMFFM;T1YFFM;T5YFFM;T10YFFM;AAAFFM;BAAFFM;TWEXMMTH;EXSZUSx;EXJPUSx;EXUSUKx;EXCAUSx;WPSFD49207;WPSFD49502;WPSID61;WPSID62;OILPRICEx;PPICMM;CPIAUCSL;CPIAPPSL;CPITRNSL;CPIMEDSL;CUSR0000SAC;CUSR0000SAD;CUSR0000SAS;CPIULFSL;CUSR0000SA0L2;CUSR0000SA0L5;PCEPI;DDURRG3M086SBEA;DNDGRG3M086SBEA;DSERRG3M086SBEA;CES0600000008;CES2000000008;CES3000000008;UMCSENTx;MZMSL;DTCOLNVHFNM;DTCTHFNM;INVEST;VXOCLSx
31.01.1964;0.00417053456123639;0.000499318248932568;0.00327139189477155;0.0239558980063563;-0.00521303481360746;0.00875802056160691;0.00971835448199876;0.0106958949917821;0.00972965250423341;0.00191748867811370;0.00977551175499425;0.0256006806394251;0.00779945722121322;0.00194972822923134;0.0171316915434865;0.00875252020169581;0.0221925640714376;0.00595730811221351;0.452600000000004;5;-0.00529688000000000;0.00232455274033683;0.00166984072783904;0.0999999999999996;0.199999999999999;0.0173237078974564;-0.0481308597117272;0.0484590931516751;0.0673151270139059;0.0281708769666968;-0.0792730314390351;0.00221163899390930;-0.00447313016089979;-0.00509157706671726;-0.0283006712429508;0.000190918637422044;-0.000430431514232055;0.00109025787608275;0.00563544968546736;0.00635199003252573;0.00492952501028121;0.00497963136115587;0.00324500014332685;0.00682095094309609;39.5000000000000;-0.100000000000000;40.1000000000000;7.37963215260955;5.45103845356570;5.88053298640070;6.36990098282823;6.05912319558180;7.16703787691222;5.28826703069454;5.69709348650541;5.99396142730657;5.98896141688986;0.00157692636072732;0.105588206140057;0.0111593344595847;0.0234196305186938;0.00510639323027107;0;0.00456089950258498;0.000740704758547928;0.00313651946934179;-0.0101178556781578;-0.0282865414177205;-0.0270739054761898;-0.0134255685668183;0.00352572356133507;-0.00138376980412502;0.000777709999999987;0.0302771766266048;0.0310267932516304;-0.0698726439999997;0.0240489684948040;0.100000000000000;0.0100000000000002;0;-0.0200000000000000;-0.0200000000000000;0.0300000000000003;0.0400000000000000;0.0400000000000000;-0.0199999999999996;0.490000000000000;0.0400000000000000;0.160000000000000;0.310000000000000;0.590000000000000;0.690000000000000;0.910000000000000;1.35000000000000;0.0267493382860732;9.26762587256658e-05;-0.000906439491047628;0.000643454658649123;0.000833294803091189;0.00597907769673256;0.00595239852729534;0;0.0403609692029105;0;-0.00304962809127041;-0.00130247675749784;0;0.00317952246852293;0.00410678195265346;-0.00288600488913460;-0.00257400399517271;-0.00388350002639770;-0.00323102058144675;-0.00306278953054617;-0.00318979536810016;0.000543832265576860;0.000705152383374319;0.000666296642841235;0.000371339437850615;-0.00400802139753875;-0.0230001284731378;-0.00421053253634329;2.04511980796282;0.000254177484475093;-0.00352554861543908;-0.0148108832893392;-0.0169484272458220;10.6833000000000
29.02.1964;0.00385725404385529;0.00875504990166043;0.00705151409888005;0.00202022167347771;0.00459836299468464;0.00676186028225878;0;-0.00387779963257451;-0.00193739251445146;0.00573711720657233;-0.00389831167064747;-0.00468882008271532;0.0154150590437681;0.0173535492620411;0.0147643688383217;0.00579150400439277;-0.0105518001996803;0.00494009702583131;0.205199999999991;-29;0.00452764000000000;0.00450913966665567;0.00618627864730037;-0.199999999999999;-0.300000000000001;-0.0552374964184663;0.0506010132937895;-0.0405460943943501;-0.0462617178160736;-0.0343121449887791;-0.0566082828792638;0.00458182998402457;0.00841548480487653;0.000164649708118247;0.0443937124735836;0.00171662947072626;0.00150570043503784;0.00202161642601872;0.00262253959545511;0.00173325288213455;-0.00127438156650328;0.00446395214804696;0.00287563102546251;0.00198506046482549;40.3000000000000;0;40.7000000000000;7.50659178007084;5.51745289646471;6.19644412779452;6.47697236288968;6.06610809010375;7.27378631784490;5.59471137960184;5.83773044716594;6.00388706710654;6.05208916892442;-0.00743778181990344;-0.0370219419549951;-0.000264774646665729;0.0100773054657601;0.00357782154498665;0.0103311250000000;0.00129024415778289;0.000980931308004251;0.00702140503593807;0.00142867836949323;-0.0248027827889987;-0.0282805011565049;-0.00220593353214893;0.00163297626066594;-0.000194141767617673;0.000906072000000008;0.0122206409072962;0.0136357373475837;-0.0149618520000003;0.00518384114657566;0;-0.0900000000000003;0.00999999999999979;0.0299999999999998;-0.0100000000000002;-0.0400000000000000;-0.0199999999999996;-0.0299999999999994;0;0.400000000000000;0.0500000000000000;0.190000000000000;0.300000000000000;0.550000000000000;0.670000000000000;0.880000000000000;1.35000000000000;0.00857261521275379;0.00199046494454436;0.000797831419156125;-0.000500428949534060;-0.000277687788149891;-0.00298953884836628;-0.0148943359029570;0;-0.0270274383334455;0;-0.00297085969031219;-0.00291120898923936;0;-0.00957959346687121;-0.00410678195265346;0;0.00256739550524587;0;0;0;0;-0.000549353533302988;0.00110014388862556;-0.00303454837433348;0.000741439956906564;0;-0.00658965080819529;0;1.31528730287039;0.00159760874800430;0.00133692064133051;0.00147424852325706;-0.00498481336188394;9.48440000000000
31.03.1964;0.00470002420015181;0.00467104238644112;0.00350719783960551;-0.0288340219324894;0.00721038026032694;0;0;-0.00194278232768941;-0.00486242721553953;-0.00765460588468603;-0.00293536871935762;0.0121588764431149;0;0.000956701516463987;-0.00508349592092472;0;0.00959587320680733;-0.000987428486008746;-0.309799999999996;26;0.00436290299999997;0.000412666103960291;0.000174527684896120;0;0.300000000000001;0.0429742435146254;-0.0786730320724765;0.0233700996233397;0.0112995552539337;0.0362943061927705;0.0528694490872592;0.00254217639871612;0.000868299464622524;0;-0.00223749494019287;0.00177710125468877;0.00364729003336706;-0.000932545917752492;0.00339905153907338;0.00475101312620652;0.00148662069004502;0.00846562333355827;0.00250941160542606;0.00312630517240997;40.2000000000000;0;40.6000000000000;7.32448997934853;5.50125821054473;5.79605775076537;6.36302810354047;5.89440283426485;7.18006987430280;5.56834450376110;5.69373213880270;5.98645200528444;5.87493073085203;-0.00423756384763486;-0.00695981836147475;-0.0171784848834357;0.0131287067124468;0.00393959842260827;0.0103311260000001;-0.00260077185587893;-0.000536561624825183;0.00457631203939535;0.00481724932905481;0.0304697695529503;0.0315473423149013;0.000678980772250704;-0.00392375505583820;0.000246376438783891;0.000953474999999981;0.0180554235814654;0.0202905511897340;-0.0323318570000000;0.0102272637138756;-0.0499999999999998;0.120000000000000;0.0100000000000002;0.0500000000000003;0.130000000000000;0.109999999999999;0.0699999999999994;0.0199999999999996;0;0.570000000000000;0.110000000000000;0.290000000000000;0.480000000000000;0.710000000000000;0.790000000000000;0.950000000000000;1.40000000000000;0.0107696307695733;0.000508552946697716;-0.00130504585147762;0.000428954430169659;0.000462770150329139;-0.00298953884836628;0.0119314762240279;0;0.0169093081678611;0;0.00857476758667897;0.00194017800178958;0;0.00637959073620031;0;0;-0.00256739550524587;0;0.00322061470004220;0;0;-0.000928180711629256;-0.00339434362508761;-0.000528789534073315;-0.000375907232976314;0.00399202126953735;0.0164312675410541;0;1.20172451015449;-0.000838175349487713;0.00364470243035875;0.00115654400569731;0.0106597358671889;10.1715000000000
30.04.1964;0.00612552514466636;0.00619430897349815;0.00170418912892734;0.0242701547930508;0.00823049911424789;0.0162303617961075;0.0201068635946018;0.0221294391167306;0.0250250260894207;0.0265418798151313;0.0232345603868285;0.0229684567411250;0.0114064153367588;0.0123421932003946;0.0211943934452270;0.0181209579117172;0.0207950048551147;0.00883622962822184;1.22940000000000;91;0.0272395500000001;0.00768565367444829;0.00858685110208768;-0.100000000000001;-1.10000000000000;-0.00901414554344360;0.0587388171716592;-0.106537552870384;-0.140511286733940;-0.0718257345712559;-0.0496483205794842;0.000414436200026458;0.000306278716022845;0.000493786529661477;-0.00384739172889326;0.000950721035009039;0.000856256072866657;0.00108788572388896;0.000469728609889586;-0.00293432505357139;0.00226108557734328;-0.0141721605585481;0.00286020931493169;0.00342768447777786;40.3000000000000;0.100000000000000;40.7000000000000;7.27793857294566;5.37989735354046;5.69373213880270;6.33859407820318;5.90808293816893;7.14203657470680;5.44673737166631;5.57594910314632;5.98645200528444;5.91350300563827;0.0216333801776277;0.0393363888203684;0.0490962424045476;0.0163027161992417;0.00532189277022610;-0.0206622510000001;0.000644527849140708;-0.000776827984944717;0.00440138156964842;-0.00319735425038692;-0.00391334248607311;-0.00107710996184594;0.00657584848302184;-0.00106666012140977;-0.00308424320358913;0.000222876000000011;0.0143633564193442;0.0151877622746222;-0.0213136379999996;0.00550380640453341;0.0400000000000000;-0.0899999999999999;-0.0699999999999998;-0.0600000000000001;0;0.0100000000000007;0.0100000000000007;0.0200000000000005;0.0199999999999996;0.440000000000000;0;0.190000000000000;0.440000000000000;0.680000000000000;0.760000000000000;0.930000000000000;1.38000000000000;-0.00135566138394079;-0.00141071472615772;0.000724592124432988;0.000321595114526119;0.000370061989605722;0.00597907769673256;-0.00597907769673256;0;-0.00339558900113834;0;-0.0115356684696928;-0.000646935015209849;0.00211640290637716;-0.00637959073620031;0.00408998525152526;0;0;0.00386847677792002;-0.00322061470004220;0;0;0.000217434521237792;0.00180535555595629;0.000480711455264071;-0.000522017226053162;0.00394452832619896;0.00320903526812066;0.00836824967051664;-1.44116804581033;-0.000558940969588306;0.00577301245255235;0.00501511095476914;-0.00739278993990578;12.0207000000000
31.05.1964;0.00610611435766284;0.00638068448631923;0.0137067697086759;0.00982012275650135;0.0134155685979120;0.00566384420986532;0.00283828084934212;0.00474227764139146;0.00757587530765180;0.00559473245487929;0.00952414309010363;0.0108369177850900;0.00847113933412169;0.0131182599679915;0.00151142149895156;0.00377479130872649;0.00652539141164121;0.0116622196752179;0.0113999999999947;3;0.0220162920000000;0.00164997412474399;0.00395720979463832;-0.200000000000000;1.20000000000000;-0.0498943389110806;-0.0857918646433689;0.0429610327690044;0.0149735417901624;0.0698435733672644;0.0137622552267391;0.00287903932133027;0.00188664869973998;-0.00329652515440770;0.00384739172889326;0.00170902342448365;0.00138985428905336;0.00217222738634604;0.00338594895557520;0.00302049852081510;0.00288956434757459;0.00964471469860406;0.00178348540229756;0.00269234914627781;40.4000000000000;0.100000000000000;40.8000000000000;7.29097477814298;5.58724865840025;5.81114099297670;6.32972090552270;5.72031177660741;7.16935001667060;5.49716822529320;5.63121178182137;5.98896141688986;5.93224518744801;-0.00577985760496906;9.80199292470729e-05;-0.00140398575666674;0.0185525851594832;0.00362504440729872;-0.0103311259999999;0.00128490418118865;0.00146314430534833;0.00522555557798921;0.00102184231380731;-0.00128404577588892;-0.00700057938945593;-8.62071430733913e-05;0.000116224259900211;0.00313317278482561;0.000801249000000004;0.00971002276217625;0.0101928127498185;-0.00772696400000017;0.000801666863696759;0.0299999999999998;-0.0200000000000000;0.00999999999999979;-0.0600000000000001;-0.0700000000000003;-0.100000000000001;-0.0300000000000003;0.00999999999999979;0;0.390000000000000;-0.0200000000000000;0.100000000000000;0.340000000000000;0.550000000000000;0.700000000000000;0.910000000000000;1.35000000000000;0.0271975883436875;-0.00122732077420551;0.000145076074176131;0.000142897971092015;0;-0.00298953884836628;0.00298953884836628;-0.00325203538637764;-0.00339558900113834;0;-8.11685017509944e-06;0.000645681872432746;-0.00211640290637716;0.00318979536810016;-0.00408998525152526;0;-0.00256739550524587;-0.00386847677792002;0;0;0;-0.000708092170941921;-0.00153546791764203;-0.00182777218046404;0.000516106461903920;-0.0118969508118331;-0.0163026873873569;-0.00836824967051664;1.87733150644864;0.00157054986638805;0.00608945453229204;0.00314295057378367;-0.00927150412216005;11.8475000000000
30.06.1964;0.00374415872641709;0.00414434853079282;0.00568546453153473;-0.00131587130501742;0.000780873245206593;0.00282163301933736;0;-0.000945277478257456;-0.00188799842490317;0.0101801409848199;-0.00665609356922747;0.00358636460975026;0.00653900688366660;0.00557158663532986;0.0138148564330463;0.00188025246414369;0.0175038768949238;-0.00971016771865285;-0.149299999999997;65;0.00995479399999999;-0.00495811214641684;-0.00594892607070285;0.100000000000001;0;0.0223538719742331;0.0136180043684409;0.0712467398726897;0.134857476892580;0.00790517950711323;-0.0222246498193783;0.00226979720869736;0.00264550418842369;0.00625413493442384;0.00701533489390549;0.00170610764584467;0.00202785703730157;0.00123915753154868;0.00207797679904864;0.00249580576216957;0.00175784041889315;0.00523248693260925;0.00142450166538488;-0.000103417963790875;40.4000000000000;0;40.8000000000000;7.34601020991329;5.56834450376110;5.83773044716594;6.36818718635049;5.88887795833288;7.15461535691366;5.57594910314632;5.59471137960184;5.96870755998537;5.87493073085203;0.00571889058421463;0.00712963302529879;0.000464542828583410;0.0190772114530500;0.00435125459104668;0.0103311259999999;-0.00129488740936612;0.000944786935128228;0.00618913150417910;0.00255928927660332;0.0154999714566082;0.0178067435266404;0.000528886337395118;-0.00113054375060662;-0.00420758303889546;0.000336322000000000;-0.00596423239167354;-0.00772294968890819;0.0382895049999998;-0.0181502223686145;0;0.110000000000000;0;-0.0400000000000000;-0.00999999999999979;-0.0300000000000003;-0.0300000000000003;0;0;0.500000000000000;-0.0200000000000000;0.0600000000000000;0.330000000000000;0.520000000000000;0.670000000000000;0.910000000000000;1.35000000000000;0.000262857458112226;-2.31714805425387e-05;-3.61291454273882e-05;-0.00185926827015903;0;0;0.00298953884836628;-1.06102484385140e-05;-0.0103032553570235;0;0.0140568586703718;-9.37734482509001e-07;0;0.00318979536810016;0.00407332538763550;0;0.00256739550524587;0.00385356931599024;0;0.00305343748688980;0.00317965291737954;0.00135982952673297;0.000993566192970086;0.00360732768642702;-0.000372627275538662;0.00792080243219351;0.00977732665601017;0.00415801014866379;-0.911357002312432;0.000226189597127835;0.000120184647569133;0.00224474513840356;0.0141445333810406;13.4224000000000
31.07.1964;0.00427471370168941;0.00416434883274786;0.00731256679470471;0.0199621071395875;0.00494665045081533;0.00654964405615432;0.0103440635864254;0.0113086688527124;0.0140762133345804;0.0164383444395377;0.0132702651672116;0.0133377361747868;0.00185737839158184;0.00185233440979005;1.63943832842683e-05;0.00842125444757702;0.00637424462092806;0.00389717512161747;0.412000000000006;62;0.0486209060000000;-0.000342374300622339;0.00261151378068192;-0.300000000000000;1.10000000000000;-0.145654780105144;0.00270148746016030;-0.0439309292257271;-0.118014973498083;0.0291000164864412;-0.0288442364436570;0.00329235340352518;0.00294252152854213;-0.00246406695515855;0.00317259149358407;0.00302591165760191;0.00425577831387791;0.00123762392034976;0.00347096654746970;0.00463082895982758;0.00375142871368794;0.00452057628545077;0.00213295495014165;0.000827044397393451;40.3000000000000;0;40.8000000000000;7.35372233039963;5.53338948872752;5.82894561761021;6.34212141872115;5.99146454710798;7.17319174248660;5.49716822529320;5.62040086571715;6.02586597382531;5.91350300563827;0.00479571589504173;0.0452828586515910;0.0208506073675126;0.0269017302735826;0.00212245715170312;-0.0206622519999999;0.00575261458236742;0.000193126349667061;0.00705912074016979;-0.00454702927310091;-0.0102930610767982;-0.00988090790810709;-0.00242071642140873;0.00308870774163728;0.00326483065053562;0.000759836999999985;0.0364655599011146;0.0353140780041237;-0.0821795609999998;0.0242706593087680;-0.0800000000000001;-0.0400000000000000;-0.0200000000000000;0;-0.110000000000000;0.0100000000000007;0.0200000000000005;-0.00999999999999979;-0.0199999999999996;0.540000000000000;0.0400000000000000;0.140000000000000;0.300000000000000;0.610000000000000;0.770000000000000;0.980000000000000;1.41000000000000;0.0113752308227861;0.00141247867138428;0.000145060270591024;-0.00161177706412530;0.000277456649178748;0;-8.91071022834922e-06;0.00652529126963231;0.0205717236459235;-0.0169783365344180;-0.0113307657531476;-0.000645473487600246;0.00211193320314385;-0.00637959073620031;-0.00407332538763550;0;0;-0.00385356931599024;0.00321027563024812;-0.00305343748688980;-0.00317965291737954;-0.000164998290177465;0.000686789035305502;-0.000387728066773452;-0.000223445256188004;-1.56229250802831e-05;0.00323088367573199;-0.00415801014866379;1.84225146064595;0.000221676880445720;-0.00379774287121570;-0.00242999546727418;-0.00283141024453215;11.2238000000000
31.08.1964;0.00693172246710994;0.00750396276009369;0.00595925989853230;-0.0202172672034298;0.0139741850977479;0.00651037189804171;-0.000936551931641549;-0.000935527224127153;-0.00186510541749119;0.00722250842118610;-0.00661417159798416;-0.000881245429356969;0.0202419054531315;0.0291447667254778;0.0115287063862906;0.00650197815240938;0.00271896090874257;-0.0137002918494229;0.249499999999998;-34;-0.0170078050000000;0.00151924751206245;0.000921778521576044;0.0999999999999996;-1.70000000000000;0.132184591074144;-0.0347701997417174;-0.0702768434159671;-0.117261251141544;-0.0291000164864412;-0.0400628579974516;0.00352040831142197;0.00353982670512387;-0.00197563449179050;0.00284675188296646;0.00383226478122367;0.00487185882060537;0.00231642447799807;0.00351049636476297;0.00316063988394433;0.00185298540913781;0.00408439414509232;0.00106477383617953;0.00566748902247127;40.4000000000000;0.200000000000000;40.9000000000000;7.35819375273303;5.57594910314632;5.86646805693330;6.39024066706535;5.87493073085203;7.17472430983638;5.52146091786225;5.68697535633982;6.07304453410041;5.78996017089725;-0.00696458948081367;-0.0844821620224927;-0.0101525740143843;0.00884345295231803;0.00349682900572468;0.0103311260000001;-0.00132519567654921;0.000672437960575145;0.00700963865055204;0.00376625423344379;-0.00747623895869243;-0.0103790417906343;-0.000667291856012664;-0.00116974022077310;-0.00237044430878175;7.77620000000090e-05;-0.0147684562905415;-0.0170396941135929;0.0672973780000001;-0.0205405123895015;0.0800000000000001;-0.0800000000000001;0.0400000000000000;0.0499999999999998;0.0200000000000000;0.0199999999999996;0;0.00999999999999979;-0.00999999999999979;0.380000000000000;0;0.110000000000000;0.240000000000000;0.550000000000000;0.690000000000000;0.910000000000000;1.32000000000000;0.0119149113073373;-0.000254561865693281;-0.000145060270591024;-0.00111184847276991;-0.00231449439061002;0.00298062813813793;-0.00298062813813793;-0.00652529126963231;-4.69142173615822e-05;0.0169783365344180;-0.00279711816673034;0.000644225995060310;-0.00211193320314385;0.00637959073620031;0.00405680069561454;0;0;0;-0.00321027563024812;0;0;-0.000489753638252655;-0.00204286663387876;-0.00230393598705358;0.00139718364273556;-1.55001511270569e-05;-0.00326250872910183;0.00414079266603129;-0.622208902210763;0.000996196897422585;-0.00595763214284695;-0.00181849715044713;0.0116733529988906;13.6898000000000
30.09.1964;0.00408407046398018;0.00407946319993524;-0.00421565630087573;0.0271687908267424;0.00937247627951621;0.00369793627829651;-0.00468942447111420;-0.00376117200437198;-0.0112666631374472;-0.0236608528607238;-0.00570190208941845;0.00880472978193492;0.0153630472434223;0.0204370548559898;0.0119693832625849;0.00461953856286224;0;-0.00295841100981775;0.0888999999999953;30;-0.000858383000000074;0.00234959946353897;0.00165418871013934;0.0999999999999996;-0.300000000000001;0.00411886431083985;0.0211891852064197;-0.0183689659723783;0.0702440446248343;-0.0992549580953410;0.0316506107027994;0.00483314703352278;0.00669134386062531;0.00525970969298051;0.00157803409739010;0.00780741606789448;0.0107188920347454;0.00354146185830118;0.00388330028049388;0.00195969900403092;0.00397406923362009;0.00189482139000674;0.00248007213036061;0.00553336794565595;40.4000000000000;0;40.9000000000000;7.28276117960559;5.43807930892320;5.79301360838414;6.31716468674728;5.83773044716594;7.14282740116162;5.48479693349066;5.70044357339069;5.99396142730657;5.78074351579233;0.00132722817125556;0.0607645189615766;-0.00315561615440024;0.0155804428108954;0.0105995141836193;0;-0.000670081374877896;0.000416122789427931;0.00748282449903392;0.000412406663793607;0.0195848294819543;0.0210908198664166;0.00501189651010758;0.000199244211793737;0.00315915503859010;0.000899006000000008;0.0170489589892666;0.0179464152456452;-0.0259107960000002;0.00451001102968451;-0.0499999999999998;0.0100000000000002;0.0299999999999998;0.0700000000000003;0.0999999999999996;0.0300000000000003;0.00999999999999979;0.00999999999999979;0;0.440000000000000;0.0800000000000000;0.230000000000000;0.390000000000000;0.630000000000000;0.750000000000000;0.970000000000000;1.37000000000000;0.00725394009450542;-0.000138879244720114;-0.00307714138492265;-0.00114901269373835;-0.00241277028704180;-0.00298062813813793;0;0.00652529126963231;0.0167045323397939;0;0.0137099628389645;-9.33511136391729e-07;-0.00422833610952100;-0.00637959073620031;-0.00405680069561454;0.00287769982761521;0.00256739550524587;0;0;0.00304414238122819;0.00316957476127921;0.000703658779245941;0.000740518183703465;0.00369109325593575;-0.00154903451540900;-1.53788187529091e-05;-0.00646204116289306;0.00408970647048423;0.451907432266894;0.000200951589334863;-0.0111420934159483;-0.00380204338655510;0.0105823871516488;10.5167000000000
31.10.1964;0.000547548324844271;0.000696621414448373;0.00651157015134807;-0.0139417748050423;-0.0394206975060776;-0.0139442584297473;-0.0104027276558010;-0.0132714231452198;-0.0200304048970614;-0.109871876656535;0.0132576923596850;-0.00792348435257795;-0.0190136913955503;-0.0394668370768825;0.000944350829034324;-0.0148539397709113;0.00721353967822624;0.00689164827790467;-1.57419999999999;1;-0.00191599799999997;0.000245569517870692;5.74877838612764e-05;0;-0.0999999999999996;0.0295074922694401;-0.0390384143650628;-0.0153849188394792;0.0280493038098992;-0.0604887614806513;0.0172265717953621;-0.00185221426480275;-0.0110927371497187;0.00376340131655173;0.00910381424947104;-0.0158026741200779;-0.0277677866018173;0.00153586268863926;0.00284502505084028;0.00280505092760919;0.00295287772534802;0.00363000871001340;0.000707463771989936;0.00601091922415620;40.3000000000000;-0.200000000000000;40.7000000000000;7.32909373624659;5.58349630878170;5.92157841964382;6.39024066706535;5.66988092298052;7.11476944836646;5.40717177146012;5.70711026474888;5.97126183979046;5.74939298590825;-0.0380383780701514;-0.0152110605996025;-0.0808347676266189;0.0233415886500588;-9.08962835257654e-05;0.0206622509999999;-0.00254157324267013;-0.00316756759480796;0.00394331079035926;-0.00329546881972309;-0.0120010179076777;-0.00966607160601537;-0.00288358605952865;-0.00115297866590680;-0.00415026620803793;0.000928068000000004;0.0171167854267154;0.0166277283362470;-0.0260747740000000;0.00804444701913454;-0.0900000000000003;0.110000000000000;0.0400000000000000;0.0400000000000000;0.0200000000000000;-0.00999999999999979;-0.00999999999999979;0;-0.0100000000000007;0.640000000000000;0.210000000000000;0.360000000000000;0.500000000000000;0.710000000000000;0.830000000000000;1.06000000000000;1.45000000000000;0.0367585862226354;-0.000694685682678387;0.000252826107606907;3.59266378096024e-05;-0.000743563562467936;0;0.00297177038915741;-1.06102484385140e-05;-0.0335472756536652;0;0.0209536373504409;0.000320456690785065;0.00422833610952100;0.00318979536810016;0;-0.00287769982761521;-0.00513479101049175;0.00383877630716567;0;-0.00304414238122819;-0.00316957476127921;-0.000813790420100435;-0.00170527654098862;-0.00239743499312217;0.000512489874430866;-0.0117570767821624;0.0160929342238543;-0.0247598010877261;5.18986506336565;-0.00287554503323761;0.00597407020933716;-0.000703731392396989;-0.00357881561207751;11.0924000000000
