DATE;f1;f2;f3;f4;f5
31.01.1964;3.54378050000000;4.25942770000000;4.03012980000000;3.95061200000000;4.20612800000001
29.02.1964;3.91672330000000;4.05607990000000;4.11378670000000;3.96357170000000;4.08908940000000
31.03.1964;3.91198400000000;4.24649020000000;4.22770290000000;4.20274970000000;3.80313970000000
30.04.1964;3.78445390000000;4.17629370000000;4.19025560000000;4.19013000000000;4.06678880000000
31.05.1964;3.80913920000000;4.03037560000000;4.05840450000000;4.19377230000000;3.82733840000000
30.06.1964;3.77341370000000;3.78221170000000;4.12984050000000;4.21640610000000;4.00973500000000
31.07.1964;3.65086310000000;3.67327530000000;4.28298850000000;4.28497070000000;4.16230290000000
31.08.1964;3.77605320000000;3.68974900000000;4.23909230000000;4.26842510000000;4.15803740000000
30.09.1964;3.89992040000000;3.69440180000000;4.22276600000000;4.17466820000000;3.97989560000000
31.10.1964;3.91027110000000;3.81440590000000;4.19691590000000;4.08531950000000;4.03490460000000
30.11.1964;4.21742800000000;3.83885540000000;4.22458050000000;4.05265970000000;4.02495190000000
31.12.1964;4.05241930000000;3.81933650000000;4.05883980000000;4.08152440000000;4.37077450000000
31.01.1965;4.07675560000000;3.77825320000000;3.96846040000000;4.09037880000000;4.86524950000000
28.02.1965;4.20346020000000;3.86244500000000;3.93366070000000;4.02772570000000;4.86182440000000
31.03.1965;4.14284990000000;3.91183910000000;4.02917690000000;3.98971250000000;4.62515810000000
30.04.1965;4.09800450000000;3.95367170000000;4.08012520000000;4.01299940000000;4.56291120000000
31.05.1965;4.07723840000000;3.98375500000000;4.05329970000000;4.02481370000000;4.53649970000000
30.06.1965;3.97897030000000;3.88495810000000;4.15723240000000;4.11181520000000;4.36642000000000
31.07.1965;3.89679730000000;4.10305170000000;4.15501820000000;4.33685840000000;4.12773540000000
31.08.1965;4.17504120000000;3.99533180000000;4.27310710000000;4.24066270000000;4.09062270000000
30.09.1965;4.27588250000000;4.21496090000000;4.31122220000000;4.29299320000000;4.15092670000000
31.10.1965;4.35042050000000;4.16034670000000;4.34840820000000;4.53449180000000;4.21226980000000
30.11.1965;4.35147040000000;4.22919840000000;4.62797420000000;4.53988220000000;4.22943830000000
31.12.1965;4.89280240000000;4.73019680000000;5.06457030000000;4.83956010000000;4.32392340000000
31.01.1966;4.92121130000000;4.73319950000000;5.06425730000000;4.91376830000000;4.49072560000000
28.02.1966;4.97860430000000;4.82856510000000;5.04164650000000;5.14121490000000;3.50842220000000
31.03.1966;4.84828240000000;4.61528520000000;4.77727640000000;4.89133400000000;4.08649600000000
30.04.1966;4.99676090000000;4.68098970000000;4.91875690000000;4.77917450000000;4.49832050000000
31.05.1966;5.02182880000000;4.99481300000000;4.96343280000000;5.02258180000000;4.42928810000000
30.06.1966;5.11012080000000;5.06458260000000;5.23092690000000;5.07295690000000;4.58193230000000
31.07.1966;5.24439220000000;5.15394700000000;5.27365180000000;5.25312220000000;4.99488830000000
31.08.1966;5.93520180000000;5.75992560000000;5.64172260000000;5.87816360000000;4.58626290000000
30.09.1966;4.95965920000000;5.84605440000000;5.39766800000000;5.09053760000000;4.47136580000000
31.10.1966;5.69399270000000;4.88753830000000;5.14558650000000;5.12118530000000;4.75091720000000
30.11.1966;5.44293720000000;5.27946520000000;5.30411780000000;5.21491940000000;4.74890140000000
31.12.1966;5.01864460000000;4.57926120000000;5.05154600000000;4.29045020000000;4.49844400000000
31.01.1967;4.61356350000000;4.38831530000000;4.70876020000000;4.80846180000000;4.25240570000000
28.02.1967;4.66334830000000;4.61936950000000;4.91624860000000;4.68586800000000;4.55444160000000
31.03.1967;4.14334750000000;4.12932210000000;4.44518060000000;4.61647980000000;4.50598750000000
30.04.1967;4.02811320000000;4.66226700000000;4.82839980000000;4.94121760000000;4.71190040000000
31.05.1967;3.96394980000000;4.27952660000000;5.32431610000000;4.82029150000000;5.04434100000000
30.06.1967;5.07014270000000;4.36044730000000;5.74259280000000;5.54612080000000;5.58417490000000
31.07.1967;5.09788750000000;4.67648070000000;5.09768630000000;5.04246430000000;5.21407670000000
31.08.1967;5.26363780000000;5.06828080000000;5.31447280000000;5.09282340000000;5.22224970000000
30.09.1967;5.35707500000000;4.94835760000000;5.55302010000000;5.32259970000000;4.92657160000000
31.10.1967;5.52098590000000;5.62513610000000;5.45734050000000;5.50757110000000;5.72346540000000
30.11.1967;5.82623740000000;4.79019480000000;6.19338710000000;5.46337310000000;5.78618310000000
31.12.1967;5.93060360000000;5.49289060000000;5.69851170000000;5.65105690000000;5.19079970000000
31.01.1968;5.47171560000000;5.08925160000000;5.67397650000000;5.54791590000000;5.20373190000000
29.02.1968;5.53214970000000;5.23328530000000;6.00251480000000;5.28833620000000;4.89086200000000
31.03.1968;5.69236850000000;5.32505350000000;6.04161720000000;5.81275560000000;4.83575770000000
30.04.1968;5.65547510000000;5.59630730000000;6.32489930000000;5.92565830000000;4.93377000000000
31.05.1968;6.06587300000000;5.13534700000000;6.14235900000000;5.91835700000000;4.93440600000000
30.06.1968;5.63485130000000;5.43533110000000;5.61035940000000;5.51499620000000;4.69855950000000
31.07.1968;5.39706260000000;4.75453320000000;5.16359860000000;5.20351800000000;4.96114860000000
31.08.1968;5.28822340000000;4.96974580000000;5.09378410000000;5.10513350000000;5.38976820000000
30.09.1968;5.32624000000000;5.09323160000000;5.18510820000000;4.95859100000000;5.40671170000000
31.10.1968;5.62910770000000;5.26378550000000;4.95665490000000;5.04142550000000;5.69747490000000
30.11.1968;5.63502030000000;5.50445830000000;4.99960340000000;5.34818240000000;5.96279010000000
