DATE;1YEAR;2YEAR;5YEAR;10YEAR
31.08.1985;4.16910730000000;7.79094030000000;11.8926056000000;14.5485602000000
30.09.1985;3.56052120000000;6.73003230000000;10.4431114000000;12.5060769000000
31.10.1985;3.41025820000000;6.54355060000000;9.83244320000000;12.9673399000000
30.11.1985;2.84543720000000;5.77449060000000;9.06400060000000;12.2802426000000
31.12.1985;2.21999930000000;4.28325660000000;6.75119289999999;8.96243780000000
31.01.1986;2.21609940000000;4.66612240000000;6.91862950000000;8.98964870000000
28.02.1986;1.94742500000000;3.41936240000000;4.68637650000000;6.19720350000000
31.03.1986;0.779398799999998;1.49530870000000;2.25249150000000;2.44483190000000
30.04.1986;0.339344600000001;0.388886200000002;-0.560365299999996;-0.519775000000001
31.05.1986;0.708200399999999;1.01399860000000;0.922491999999999;1.65974630000000
30.06.1986;0.484951200000000;0.214420100000000;0.292167499999996;-0.450488299999998
31.07.1986;0.0182104000000010;0.118682200000003;-1.02747490000000;-1.19907290000000
31.08.1986;-0.819003000000000;-2.08212710000000;-3.76451230000000;-4.35695910000000
30.09.1986;-0.949050799999999;-2.57896420000000;-3.62222690000000;-5.53878250000000
31.10.1986;-0.0401653000000009;-1.37114680000000;-2.62258630000000;-3.70812690000000
30.11.1986;-0.407296800000001;-1.96341680000000;-3.26653070000000;-4.81663660000000
31.12.1986;-0.620711400000001;-1.87062340000000;-2.56084780000001;-3.94412079999999
31.01.1987;-0.207011499999998;-0.847940900000001;-1.39382530000001;-2.31536610000000
28.02.1987;-0.0112694000000007;-0.543044100000004;-1.14935960000000;-1.59591790000000
31.03.1987;-0.0702731999999999;-0.635597900000003;-1.12064480000000;-1.81753660000000
30.04.1987;0.540604600000002;0.797870300000001;0.512753000000001;0.112130500000000
31.05.1987;0.489849800000000;0.591114800000001;0.150859600000005;-0.166044099999996
30.06.1987;0.381312100000000;0.340352700000001;0.666551599999996;0.438833700000004
31.07.1987;-0.0376987000000009;0.0284146999999981;-0.181184499999998;0.201782599999993
31.08.1987;0.141201799999998;0.163193499999999;0.147601599999999;0.504839099999995
